Record,Total Beats,TP,FP,FN,Time (s),Sensitivity (%),Predictivity (%)
100,2273,2273,0,0,0.05586862564086914,100.0,100.0
101,1865,1863,5,2,0.04734635353088379,99.89276139410188,99.7323340471092
103,2084,2080,0,4,0.05941033363342285,99.80806142034548,100.0
105,2572,2285,41,287,0.05529451370239258,88.84136858475894,98.23731728288908
106,2027,1693,0,334,0.10444188117980957,83.52244696595955,100.0
108,1763,1575,112,188,0.09651803970336914,89.33635847986386,93.3609958506224
109,2532,1969,0,563,0.11254334449768066,77.76461295418642,100.0
111,2124,2119,1,5,0.10952019691467285,99.76459510357816,99.95283018867924
112,2539,2539,0,0,0.10824298858642578,100.0,100.0
113,1795,1795,0,0,0.10243368148803711,100.0,100.0
114,1879,1879,3,0,0.09506750106811523,100.0,99.84059511158343
115,1953,1953,0,0,0.12069320678710938,100.0,100.0
116,2412,2363,2,49,0.12324762344360352,97.96849087893864,99.9154334038055
117,1535,1535,0,0,0.11362934112548828,100.0,100.0
118,2278,2275,5,3,0.10681271553039551,99.86830553116769,99.78070175438597
119,1987,1880,2,107,0.11730122566223145,94.61499748364368,99.89373007438896
121,1863,1449,1,414,0.11427044868469238,77.77777777777779,99.93103448275862
122,2476,2380,0,96,0.11712217330932617,96.12277867528272,100.0
123,1518,1515,0,3,0.12357068061828613,99.80237154150198,100.0
124,1619,1514,0,105,0.11784553527832031,93.51451513279802,100.0
200,2601,2529,12,72,0.11657142639160156,97.23183391003461,99.52774498229043
201,1963,1862,0,101,0.1011495590209961,94.85481406011206,100.0
202,2136,2091,0,45,0.09757804870605469,97.89325842696628,100.0
203,2980,2460,32,520,0.11245608329772949,82.5503355704698,98.7158908507223
205,2656,2635,0,21,0.12142586708068848,99.20933734939759,100.0
207,1860,1461,69,399,0.0991811752319336,78.54838709677419,95.49019607843138
208,2955,2170,6,785,0.11872100830078125,73.43485617597293,99.72426470588235
209,3005,3004,3,1,0.1080477237701416,99.96672212978369,99.90023279015631
210,2650,2444,9,206,0.09639668464660645,92.22641509433961,99.63310232368528
212,2748,2740,0,8,0.10912537574768066,99.70887918486171,100.0
213,3251,3127,0,124,0.11362123489379883,96.1857889880037,100.0
214,2262,2168,3,94,0.10971760749816895,95.84438549955792,99.86181483187471
215,3363,3343,2,20,0.10092926025390625,99.40529289325008,99.94020926756353
217,2208,2172,1,36,0.12442398071289062,98.36956521739131,99.95398067188219
219,2154,2110,0,44,0.11090636253356934,97.95728876508821,100.0
220,2048,2048,0,0,0.1110849380493164,100.0,100.0
221,2427,2222,0,205,0.11681723594665527,91.5533580552122,100.0
222,2483,2482,2,1,0.11623692512512207,99.95972613773661,99.9194847020934
223,2605,2428,0,177,0.10309076309204102,93.20537428023033,100.0
228,2053,1904,29,149,0.09475493431091309,92.7423283000487,98.4997413347129
230,2256,2254,1,2,0.11155414581298828,99.91134751773049,99.95565410199556
231,1571,1568,0,3,0.10130548477172852,99.80903882877148,100.0
232,1780,1776,1,4,0.11040472984313965,99.7752808988764,99.94372537985369
233,3079,2833,0,246,0.10437417030334473,92.0103929847353,100.0
234,2753,2747,0,6,0.11719965934753418,99.78205593897567,100.0
