Record,Total Beats,TP,FP,FN,Time (s),Sensitivity (%),Predictivity (%),Error Rate (%)
100,2269,2269,19,0,2.1585638523101807,100.0,99.16958041958041,0.8373732921992068
103,2082,2082,13,0,1.730031967163086,100.0,99.37947494033413,0.6243996157540825
105,2569,2551,94,18,1.6507854461669922,99.29933826391593,96.4461247637051,4.35967302452316
111,2122,2120,341,2,1.6754038333892822,99.9057492931197,86.14384396586753,16.163996229971726
113,1792,1792,23,0,1.6431844234466553,100.0,98.73278236914601,1.2834821428571428
117,1533,1533,501,0,1.6195509433746338,100.0,75.36873156342183,32.68101761252446
121,1860,1857,28,3,1.998260259628296,99.83870967741936,98.51458885941643,1.6666666666666667
123,1516,1516,28,0,1.8118102550506592,100.0,98.18652849740933,1.8469656992084433
200,2598,2596,37,2,4.193079948425293,99.92301770592763,98.59475883023168,1.5011547344110854
202,2133,2130,20,3,4.102132081985474,99.85935302390999,99.06976744186046,1.0782934833567746
210,2646,2645,54,1,4.239561557769775,99.96220710506425,97.99925898480919,2.0786092214663645
212,2745,2745,27,0,4.522907018661499,100.0,99.02597402597402,0.9836065573770493
213,3247,3247,34,0,4.306544542312622,100.0,98.96373056994818,1.0471204188481675
214,2259,2257,40,2,4.049286603927612,99.91146525011067,98.25859817152808,1.859229747675963
219,2152,2152,28,0,2.4537951946258545,100.0,98.71559633027523,1.3011152416356877
221,2424,2424,28,0,2.0739686489105225,100.0,98.85807504078304,1.155115511551155
222,2480,2475,234,5,2.2822964191436768,99.79838709677419,91.36212624584718,9.637096774193548
228,2051,2047,85,4,1.9877190589904785,99.80497318381278,96.01313320825517,4.339346660165773
231,1569,1569,201,0,1.8132779598236084,100.0,88.64406779661017,12.810707456978967
232,1779,1779,42,0,2.978588819503784,100.0,97.69357495881383,2.360876897133221
233,3075,3073,216,2,2.049976348876953,99.9349593495935,93.43265430221952,7.089430894308943
234,2750,2750,8,0,1.922455072402954,100.0,99.70993473531544,0.2909090909090909
